bin,n,p_mean,y_rate,abs_gap,p_min,p_max
1,19,0.07442677956120018,0.0,0.07442677956120018,0.0,0.1
2,26,0.14341270597344544,0.0,0.14341270597344544,0.1,0.2
3,13,0.2554683203918446,0.0,0.2554683203918446,0.2,0.30000000000000004
4,13,0.3666596954772633,0.15384615384615385,0.21281354163110944,0.30000000000000004,0.4
5,16,0.4494846253470094,0.3125,0.1369846253470094,0.4,0.5
6,13,0.5661195256308644,0.5384615384615384,0.027657987169325993,0.5,0.6000000000000001
7,24,0.6512045051380098,0.625,0.02620450513800976,0.6000000000000001,0.7000000000000001
8,18,0.7591955108323085,0.7222222222222222,0.03697328861008631,0.7000000000000001,0.8
9,11,0.8461135863494623,0.8181818181818182,0.02793176816764409,0.8,0.9
