task,model,calibration,roc_auc,pr_auc,brier
PROTEST_BINARY,HGB-Cls,none(train+val fit),0.908237986270023,0.7035262678247688,0.12523533035731235
PROTEST_BINARY,HGB-Cls,sigmoid(cv=5 on train+val),0.8819221967963387,0.6850436121047813,0.14470780024259758
MILITARY_BINARY,LogReg,none(train+val fit),0.8998462129950019,0.7819955448550187,0.17349244163893937
MILITARY_BINARY,LogReg,sigmoid(cv=5 on train+val),0.8971549404075355,0.7808371729293935,0.1392072235359546
