bin,n,p_mean,y_rate,abs_gap,p_min,p_max
1,24,0.07111899247935,0.0,0.07111899247935,0.0,0.1
2,18,0.15436324981526275,0.0,0.15436324981526275,0.1,0.2
3,24,0.25026398693312996,0.0,0.25026398693312996,0.2,0.30000000000000004
4,13,0.36276895722807434,0.3076923076923077,0.05507664953576663,0.30000000000000004,0.4
5,18,0.451414463288745,0.16666666666666666,0.2847477966220784,0.4,0.5
6,17,0.5508189578406145,0.4117647058823529,0.1390542519582616,0.5,0.6000000000000001
7,21,0.64674510798146,0.5238095238095238,0.12293558417193617,0.6000000000000001,0.7000000000000001
8,18,0.7477443603851704,0.7222222222222222,0.025522138162948238,0.7000000000000001,0.8
