task,model,split,mae,rmse
PROTEST_COUNT,HURDLE_NB_HARD,TEST,0.8189163123278399,1.636090720191659
PROTEST_COUNT,HURDLE_NB_SOFT,TEST,0.8194624405279246,1.4969550974351797
MILITARY_COUNT,HURDLE_NB_HARD,TEST,6.025698867124842,10.451600325939527
MILITARY_COUNT,HURDLE_NB_SOFT,TEST,5.198740440857998,7.028909969229827
