task,model,roc_auc,pr_auc,thr,f1,precision,recall,tp,fp,tn,fn
PROTEST_BINARY,HGB-Cls,0.9383383383383382,0.8161218135829736,0.6,0.8089887640449438,0.8181818181818182,0.8,36,8,103,9
PROTEST_BINARY,HGB-Cls,0.8728813559322035,0.6916006316453147,0.6,0.6153846153846154,0.5283018867924528,0.7368421052631579,28,25,93,10
MILITARY_BINARY,LogReg,0.9484097633136095,0.8728588333412624,0.49999999999999994,0.8648648648648649,0.8135593220338984,0.9230769230769231,48,11,93,4
MILITARY_BINARY,LogReg,0.8431952662721893,0.6841637801361384,0.49999999999999994,0.6993006993006993,0.5494505494505495,0.9615384615384616,50,41,63,2
