threshold_rule,config,task,model,split,thr,roc_auc,pr_auc,precision,recall,f1,tp,fp,tn,fn
VAL_F1_OPT,num_docs=False|lag1=True,MILITARY_BINARY,LogReg,TEST,0.5499999999999999,0.8938869665513265,0.7729591528119861,0.5975609756097561,0.9607843137254902,0.7368421052631579,49,33,69,2
VAL_F1_OPT,num_docs=False|lag1=True,MILITARY_BINARY,LogReg,VAL,0.5499999999999999,0.9582852748942714,0.8962973167222716,0.8703703703703703,0.9215686274509803,0.8952380952380953,47,7,95,4
VAL_PREC>=0.70_MAXREC,num_docs=False|lag1=True,MILITARY_BINARY,LogReg,TEST,0.4099999999999999,0.8938869665513265,0.7729591528119861,0.5204081632653061,1.0,0.6845637583892618,51,47,55,0
VAL_PREC>=0.70_MAXREC,num_docs=False|lag1=True,MILITARY_BINARY,LogReg,VAL,0.4099999999999999,0.9582852748942714,0.8962973167222716,0.7352941176470589,0.9803921568627451,0.8403361344537815,50,18,84,1
VAL_F1_OPT,num_docs=True|lag1=True,PROTEST_BINARY,HGB-Cls,TEST,0.6,0.8752860411899314,0.6977573767745787,0.5384615384615384,0.7368421052631579,0.6222222222222222,28,24,91,10
VAL_F1_OPT,num_docs=True|lag1=True,PROTEST_BINARY,HGB-Cls,VAL,0.6,0.9372393661384487,0.8145837518442294,0.813953488372093,0.7954545454545454,0.8045977011494253,35,8,101,9
VAL_PREC>=0.70_MAXREC,num_docs=True|lag1=True,PROTEST_BINARY,HGB-Cls,TEST,0.21999999999999997,0.8752860411899314,0.6977573767745787,0.4430379746835443,0.9210526315789473,0.5982905982905983,35,44,71,3
VAL_PREC>=0.70_MAXREC,num_docs=True|lag1=True,PROTEST_BINARY,HGB-Cls,VAL,0.21999999999999997,0.9372393661384487,0.8145837518442294,0.7142857142857143,0.9090909090909091,0.8,40,16,93,4
