task,model,split,thr,roc_auc,pr_auc,f1,config
MILITARY_BINARY,LogReg,TEST,0.5499999999999999,0.8370931952662721,0.6521909086050359,0.6861313868613139,num_docs=False|lag1=False
MILITARY_BINARY,LogReg,VAL,0.5499999999999999,0.9436020710059172,0.844410375431742,0.8598130841121495,num_docs=False|lag1=False
MILITARY_BINARY,LogReg,TEST,0.5499999999999999,0.8938869665513265,0.7729591528119861,0.7368421052631579,num_docs=False|lag1=True
MILITARY_BINARY,LogReg,VAL,0.5499999999999999,0.9582852748942714,0.8962973167222716,0.8952380952380953,num_docs=False|lag1=True
MILITARY_BINARY,LogReg,TEST,0.5499999999999999,0.7949334319526628,0.5870370788292016,0.6515151515151515,num_docs=True|lag1=False
MILITARY_BINARY,LogReg,VAL,0.5499999999999999,0.9301035502958579,0.8171239001685362,0.8269230769230769,num_docs=True|lag1=False
MILITARY_BINARY,LogReg,TEST,0.49999999999999994,0.8431372549019607,0.6751876190546461,0.7,num_docs=True|lag1=True
MILITARY_BINARY,LogReg,VAL,0.49999999999999994,0.9480968858131488,0.8696731909803291,0.8703703703703703,num_docs=True|lag1=True
PROTEST_BINARY,HGB-Cls,TEST,0.2,0.7923728813559322,0.5587078677173655,0.528,num_docs=False|lag1=False
PROTEST_BINARY,HGB-Cls,VAL,0.2,0.8760760760760761,0.685018838505526,0.7238095238095238,num_docs=False|lag1=False
PROTEST_BINARY,HGB-Cls,TEST,0.25,0.8482837528604119,0.6016276027709591,0.6101694915254238,num_docs=False|lag1=True
PROTEST_BINARY,HGB-Cls,VAL,0.25,0.9280650542118433,0.7865433250180563,0.7959183673469388,num_docs=False|lag1=True
PROTEST_BINARY,HGB-Cls,TEST,0.6,0.8033006244424621,0.6369339706210936,0.5909090909090909,num_docs=True|lag1=False
PROTEST_BINARY,HGB-Cls,VAL,0.6,0.9055055055055055,0.7774391971661208,0.7441860465116279,num_docs=True|lag1=False
PROTEST_BINARY,HGB-Cls,TEST,0.6,0.8752860411899314,0.6977573767745787,0.6222222222222222,num_docs=True|lag1=True
PROTEST_BINARY,HGB-Cls,VAL,0.6,0.9372393661384487,0.8145837518442294,0.8045977011494253,num_docs=True|lag1=True
